,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
0,2001,3024000.0,2258000.0,1662000.0,673000.0,927000.0,97000.0,94862.0,172726.0
1,2002,3063000.0,2291000.0,1723000.0,692000.0,945000.0,101000.0,99827.0,174034.0
2,2003,3114000.0,2338000.0,1788000.0,712000.0,962000.0,98000.0,100191.0,177855.0
3,2004,3135000.0,2380000.0,1854000.0,717000.0,981000.0,98000.0,98184.0,178634.0
4,2005,3193000.0,2454000.0,1957000.0,738000.0,1037000.0,97000.0,96908.0,183190.0
5,2006,3246000.0,2509000.0,2026000.0,752000.0,1074000.0,102000.0,99411.0,187528.0
6,2007,3314000.0,2594000.0,2117000.0,762000.0,1116000.0,108000.0,105041.0,194354.0
7,2008,3399000.0,2652000.0,2179000.0,783000.0,1168000.0,113000.0,111421.0,196987.0
8,2009,3399000.0,2678000.0,2207000.0,788000.0,1177000.0,120000.0,116818.0,199627.0
9,2010,3456000.0,2758000.0,2239000.0,800000.0,1205000.0,120000.0,120254.0,202641.0
10,2011,3511000.0,2815000.0,2270000.0,808000.0,1242000.0,122000.0,120943.0,207167.0
11,2012,3542000.0,2842000.0,2285000.0,808000.0,1301000.0,126000.0,123265.0,208606.0
12,2013,3594000.0,2875000.0,2302000.0,805000.0,1307000.0,129000.0,127174.0,210863.0
13,2014,3618000.0,2905000.0,2322000.0,801000.0,1313000.0,132000.0,131232.0,210307.0
14,2015,3715000.0,2994000.0,2343000.0,804000.0,1322000.0,135000.0,132034.0,209262.0
15,2016,3811000.0,3096000.0,2358000.0,812000.0,1304000.0,136000.0,133220.0,211773.0
16,2017,3875000.0,3206000.0,2417000.0,825000.0,1320000.0,138000.0,136240.0,215704.0
17,2018,4010000.0,3293000.0,2485000.0,843000.0,1340000.0,137000.0,,
18,2019,4128000.0,3404000.0,2528000.0,852000.0,1352000.0,131000.0,,
