,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
0,2001,79.67,80.14,79.61,79.78,80.05,78.64,73.52,80.73
1,2002,80.0,80.3,79.8,80.0,80.4,78.9,74.0,81.3
2,2003,80.3,80.7,80.2,80.2,80.6,79.0,74.7,81.5
3,2004,80.7,80.9,80.4,80.6,81.0,79.3,75.2,81.8
4,2005,80.9,81.3,80.8,80.8,81.3,79.7,75.4,82.0
5,2006,81.0,81.5,80.9,81.1,81.4,79.8,75.0,81.9
6,2007,81.4,81.6,81.2,81.3,81.5,79.9,75.3,82.1
7,2008,81.5,81.7,81.2,81.4,81.6,80.0,75.4,82.0
8,2009,81.8,81.8,81.4,81.5,81.7,80.0,76.1,82.4
9,2010,81.8,82.1,81.6,81.6,81.9,80.1,76.6,82.5
10,2011,82.0,82.3,81.7,81.8,82.3,80.3,77.6,82.8
11,2012,82.0,82.5,81.7,81.9,82.4,80.6,77.3,83.1
12,2013,82.1,82.7,81.8,82.1,82.5,80.6,77.0,83.3
13,2014,82.3,82.8,82.0,82.1,82.6,80.6,77.1,83.2
14,2015,82.4,82.9,82.1,82.3,82.7,80.8,77.0,83.2
15,2016,82.4,82.9,82.2,82.4,82.5,80.8,77.1,83.2
16,2017,82.4,83.1,82.2,82.3,82.5,80.8,77.6,83.1
17,2018,82.7,83.5,82.4,82.5,82.8,81.2,77.8,83.2
18,2019,82.8,83.6,82.5,82.5,83.0,81.5,78.0,83.5
