"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,15314500,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,9667000,,
"1","Country","AUS","Australia","LF_Y15_24","      Youth Labour Force (15-24 years old) ","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,1849310,,
"1","Country","AUS","Australia","EMP_Y15_MAX","      Employment (15 years old and over) ","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,9015000,,
"1","Country","AUS","Australia","UNEM_Y15_24","      Youth Unemployment (15-24 years old) ","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,249325,,
"1","Country","AUS","Australia","LT_UNEM","      Long Term Unemployment (15 years old and over, unemployed 12 months or more)","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,147900,,
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,15530600,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,9815000,,
"1","Country","AUS","Australia","LF_Y15_24","      Youth Labour Force (15-24 years old) ","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,1857340,,
"1","Country","AUS","Australia","EMP_Y15_MAX","      Employment (15 years old and over) ","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,9190000,,
"1","Country","AUS","Australia","UNEM_Y15_24","      Youth Unemployment (15-24 years old) ","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,237777,,
"1","Country","AUS","Australia","LT_UNEM","      Long Term Unemployment (15 years old and over, unemployed 12 months or more)","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,134300,,
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,15751100,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,9989000,,
"1","Country","AUS","Australia","LF_Y15_24","      Youth Labour Force (15-24 years old) ","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,1893330,,
"1","Country","AUS","Australia","EMP_Y15_MAX","      Employment (15 years old and over) ","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,9397000,,
"1","Country","AUS","Australia","UNEM_Y15_24","      Youth Unemployment (15-24 years old) ","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,226563,,
"1","Country","AUS","Australia","LT_UNEM","      Long Term Unemployment (15 years old and over, unemployed 12 months or more)","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,131200,,
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,15958500,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,10103000,,
"1","Country","AUS","Australia","LF_Y15_24","      Youth Labour Force (15-24 years old) ","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,1919170,,
"1","Country","AUS","Australia","EMP_Y15_MAX","      Employment (15 years old and over) ","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,9558000,,
"1","Country","AUS","Australia","UNEM_Y15_24","      Youth Unemployment (15-24 years old) ","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,218274,,
"1","Country","AUS","Australia","LT_UNEM","      Long Term Unemployment (15 years old and over, unemployed 12 months or more)","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,112986,,
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,16193500,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,10404000,,
"1","Country","AUS","Australia","LF_Y15_24","      Youth Labour Force (15-24 years old) ","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,1969360,,
"1","Country","AUS","Australia","EMP_Y15_MAX","      Employment (15 years old and over) ","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,9881000,,
"1","Country","AUS","Australia","UNEM_Y15_24","      Youth Unemployment (15-24 years old) ","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,209199,,
"1","Country","AUS","Australia","LT_UNEM","      Long Term Unemployment (15 years old and over, unemployed 12 months or more)","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,93400,,
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,16448600,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,10633000,,
"1","Country","AUS","Australia","LF_Y15_24","      Youth Labour Force (15-24 years old) ","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,2003560,,
"1","Country","AUS","Australia","EMP_Y15_MAX","      Employment (15 years old and over) ","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,10124000,,
"1","Country","AUS","Australia","UNEM_Y15_24","      Youth Unemployment (15-24 years old) ","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,200988,,
"1","Country","AUS","Australia","LT_UNEM","      Long Term Unemployment (15 years old and over, unemployed 12 months or more)","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,89900,,
"1","Country","AUS","Australia","POP_Y15_MAX","      Working Age Population (15 years old and over) ","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,16780800,,
"1","Country","AUS","Australia","LF_Y15_MAX","      Labour Force (15 years old and over) ","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,10912000,,
