,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
0,2000,34882,30921,29034,28988,29659,25389,31090,45416
1,2001,36809,32561,30595,30734,30415,25749,33331,50863
2,2002,36280,33829,32303,32855,33275,27953,35538,50010
3,2003,36350,34295,31585,32895,33578,28364,34918,54916
4,2004,38289,35244,33850,34719,35532,30589,36235,57213
5,2005,39651,35995,35799,35013,36363,32235,39371,59095
6,2006,39573,36209,37102,34907,36543,33780,42081,59942
7,2007,40705,37191,39620,36489,39649,35227,43051,62768
8,2008,41965,38885,41224,38342,43613,37119,44691,67312
9,2009,43664,40350,43849,41319,46283,39660,47747,71257
10,2010,43949,40157,43506,41347,46429,39765,50516,73868
11,2011,45925,41303,44464,42734,48572,39791,51999,79610
12,2012,46914,41053,44508,42366,50918,39284,53364,82681
13,2013,46310,40961,42696,41596,51586,37742,54463,86442
14,2014,47941,42240,42675,41603,52853,38242,58063,86040
15,2015,48813,41455,43519,44644,54353,40905,61248,84267
16,2016,48904,40527,43731,45448,53861,42171,62460,84103
17,2017,48728,40702,43371,45874,51613,42244,62541,84745
18,2018,48587,40610,43377,46013,51259,42348,62356,83127
19,2019,48511,40379,43476,45678,50271,42913,59984,83184
