,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
0,2004,7850183,5773825,3273607,1700538,2028819,459240,282395,389177
1,2005,8577862,6224225,3827065,1864716,2192235,552287,329390,423100
2,2006,9132810,6716122,4438913,1983575,2584816,606006,363462,464057
3,2007,9679643,7319412,5144211,2326388,2903256,627020,386501,522003
4,2008,10208851,7912293,5754650,2466883,3258180,693156,442788,586093
5,2009,10644000,8520000,6457000,2638000,3523000,822000,471000,631000
6,2010,11554000,9225000,7262000,2935000,3918000,880000,515000,697000
7,2011,12906000,9746000,7706000,3230000,4381000,916000,568000,933000
8,2012,13454000,10093000,7656000,3194000,4790000,957000,608000,988000
9,2013,15898615.5,11387410,8261112,3448224,6557648.5,1094578,701854,1038532
10,2014,18343231,12681820,8866224,3702448,8325297,1232156,795708,1089064
11,2015,19132442,13628775,12154556,3900395,8879458,1323084,882805,1470032
12,2016,19789983,14699154,12990906,3889426,8345233,1439984,1105307,1506736
13,2017,21147565.5,15802009.5,13974931,4340109.5,8557602.5,1523488,1113472,1507278
14,2018,22505148,16904865,14958956,4790793,8769972,1606992,1121637,1507820
15,2019,23605202,18081738,16099512,4983911,8994160,1785226,1499660,1652733
