,Unnamed: 0,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
0,0,2000,7.5,7.86,6.35,6.79,8.37,6.6,8.31,6.4
1,1,2001,6.342933333333334,6.8155333333333346,5.246933333333333,5.7062,6.721733333333334,5.467333333333333,7.043200000000001,5.8500000000000005
2,2,2002,6.342933333333334,6.8155333333333346,5.246933333333333,5.7062,6.721733333333334,5.467333333333333,7.043200000000001,5.8500000000000005
3,3,2003,4.744,4.315,2.746,3.191,2.861,2.269,4.096,4.443
4,4,2004,6.342933333333334,6.8155333333333346,5.246933333333333,5.7062,6.721733333333334,5.467333333333333,7.043200000000001,5.8500000000000005
5,5,2005,6.96,7.29,6.08,6.46,7.87,6.41,7.88,6.27
6,6,2006,3.277,4.142,2.654,3.096,2.89,2.037,3.566,3.862
7,7,2007,6.342933333333334,6.8155333333333346,5.246933333333333,5.7062,6.721733333333334,5.467333333333333,7.043200000000001,5.8500000000000005
8,8,2008,6.342933333333334,6.8155333333333346,5.246933333333333,5.7062,6.721733333333334,5.467333333333333,7.043200000000001,5.8500000000000005
9,9,2009,3.443,4.886,2.614,3.646,2.965,2.294,3.796,4.125
10,10,2010,6.83,7.39,5.69,6.19,7.92,6.28,7.21,6.12
11,11,2011,6.77,7.19,5.88,6.15,7.51,6.08,7.88,6.13
12,12,2012,7.08,7.35,6.24,6.41,7.92,6.37,8.61,6.24
13,13,2013,7.19,7.46,5.92,6.38,7.6,6.42,7.59,6.65
14,14,2014,6.84,7.62,5.88,6.29,7.59,6.4,7.93,6.57
15,15,2015,6.91,7.54,5.72,6.21,7.71,6.29,7.77,6.22
16,16,2016,7.03,7.33,5.84,6.17,7.4,6.18,7.92,6.42
17,17,2017,6.74,7.29,5.66,6.19,7.4,6.09,7.61,6.06
18,18,2018,6.9,7.29,5.72,6.2,7.42,6.15,7.73,6.12
19,19,2019,6.93,7.28,5.71,6.22,7.4,6.14,7.75,6.12
