,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,Canberra(ACT)
0,2004,45522.0,41682.1,34314.1,14198.9,37572.0,2766.7,2984.4,1074.3
1,2005,43321.4,37471.5,38500.9,13030.8,41086.9,2829.9,3556.82,957.38
2,2006,42035.7,36200.0,39076.8,13294.8,49351.2,3012.94,4897.54,994.06
3,2007,43098.3,38136.4,39390.0,13070.5,52105.1,3197.53,4872.63,967.03
4,2008,42427.8,33470.7,46075.3,11197.1,52114.7,2840.71,4857.45,729.82
5,2009,44140.0,36585.6,38750.4,12647.6,60873.4,3107.32,4462.83,877.66
6,2010,40558.8,32409.4,37312.9,11408.9,72985.6,3073.53,4419.47,737.71
7,2011,42656.0,33124.2,38549.7,11905.9,75813.6,3384.87,4615.93,762.49
8,2012,46045.9,35500.1,38710.4,12235.2,76031.9,3528.26,5115.56,876.67
9,2013,44298.5,35215.7,38208.0,12313.7,87071.9,3451.54,5168.77,851.69
10,2014,47553.4,39972.0,44276.5,13423.8,79353.6,3617.25,4859.58,953.13
11,2015,50575.0,42704.0,48758.0,13765.0,74446.0,3719.0,4333.0,1041.0
12,2016,50997.9,38252.7,52134.0,12027.8,78441.2,3248.16,3912.51,940.89
13,2017,53864.1,36738.1,57655.0,11970.0,79333.4,3347.59,3879.63,946.93
