,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,Canberra(ACT)
0,2001,8.15,20.93,2.06,1.53,0.75,6.97,0.15,136.88
1,2002,8.21,21.17,2.11,1.53,0.76,6.98,0.15,138.2
2,2003,8.26,21.41,2.16,1.54,0.77,7.05,0.15,139.36
3,2004,8.3,21.65,2.21,1.55,0.78,7.11,0.15,140.03
4,2005,8.35,21.92,2.26,1.56,0.79,7.16,0.15,141.08
5,2006,8.41,22.24,2.31,1.58,0.81,7.2,0.15,142.69
6,2007,8.53,22.64,2.37,1.59,0.83,7.26,0.16,145.87
7,2008,8.66,23.1,2.43,1.61,0.86,7.34,0.16,148.3
8,2009,8.8,23.6,2.5,1.63,0.88,7.43,0.17,151.04
9,2010,8.92,24.0,2.54,1.65,0.9,7.49,0.17,154.01
10,2011,9.01,24.33,2.58,1.66,0.93,7.53,0.17,156.66
11,2012,9.11,24.83,2.63,1.68,0.96,7.53,0.17,160.3
12,2013,9.24,25.36,2.68,1.7,0.98,7.54,0.18,163.16
13,2014,9.37,25.9,2.72,1.71,0.99,7.56,0.18,165.52
14,2015,9.5,26.46,2.75,1.73,1.0,7.58,0.18,168.5
15,2016,9.65,27.12,2.79,1.74,1.01,7.62,0.18,171.61
16,2017,9.82,27.78,2.84,1.75,1.02,7.69,0.18,175.4
17,2018,9.96,28.39,2.89,1.76,1.02,7.78,0.18,178.96
18,2019,10.09,28.99,2.94,1.78,1.04,7.87,0.18,181.48
19,2020,10.19,29.42,2.98,1.8,1.05,7.96,0.18,183.64
