"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2004","2004","AUD","Australian Dollar","6","Millions","2015","2015",45522,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2005","2005","AUD","Australian Dollar","6","Millions","2015","2015",43321.4,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2006","2006","AUD","Australian Dollar","6","Millions","2015","2015",42035.7,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","AUD","Australian Dollar","6","Millions","2015","2015",43098.3,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2008","2008","AUD","Australian Dollar","6","Millions","2015","2015",42427.8,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2009","2009","AUD","Australian Dollar","6","Millions","2015","2015",44140,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2010","2010","AUD","Australian Dollar","6","Millions","2015","2015",40558.8,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","AUD","Australian Dollar","6","Millions","2015","2015",42656,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2012","2012","AUD","Australian Dollar","6","Millions","2015","2015",46045.9,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2013","2013","AUD","Australian Dollar","6","Millions","2015","2015",44298.5,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2004","2004","AUD","Australian Dollar","6","Millions","2015","2015",41682.1,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2005","2005","AUD","Australian Dollar","6","Millions","2015","2015",37471.5,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2006","2006","AUD","Australian Dollar","6","Millions","2015","2015",36200,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","AUD","Australian Dollar","6","Millions","2015","2015",38136.4,,
