"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,19274700,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,19495200,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,19720700,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,19932700,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,20176800,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,20451000,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,20827600,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,21249200,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,21691700,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,22031800,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,22340000,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,22733500,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,23128100,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,23475700,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,6530350,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,6580810,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,6620720,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,6650740,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,6693210,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,6742690,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,6834160,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,6943460,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,7053760,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,7144290,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,7218530,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,7304240,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,7404030,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,7508350,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,4763620,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,4817770,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,4873810,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,4927150,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,4989250,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,5061270,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,5153520,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,5256380,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,5371930,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,5461100,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,5537820,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,5651090,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,5772670,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,5894920,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,3571470,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,3653120,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,3743120,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,3829970,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,3918490,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,4007990,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,4111020,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,4219510,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,4328770,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,4404740,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,4476780,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,4568690,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,4652820,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,4719650,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,1503460,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,1511570,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,1520400,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,1528190,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,1538800,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,1552530,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,1570620,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,1588670,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,1608900,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,1627320,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,1639610,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,1656730,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,1671490,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,1686950,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,1906270,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,1928510,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,1952740,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,1979540,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,2011210,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,2050580,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,2106140,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,2171700,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,2240250,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,2290850,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,2353410,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,2425510,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,2486940,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,2517610,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,473668,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,474152,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,478534,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,483178,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,486202,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,489302,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,493262,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,498568,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,504353,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,508847,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,511483,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,511724,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,512231,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,513621,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,201743,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,202251,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,201725,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,202663,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,205905,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,209057,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,213748,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,219874,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,226027,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,229778,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,231292,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,235915,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,241722,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,242894,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2001","2001","PER","Persons","0","Units",,,321538,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2002","2002","PER","Persons","0","Units",,,324627,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2003","2003","PER","Persons","0","Units",,,327357,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2004","2004","PER","Persons","0","Units",,,328940,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2005","2005","PER","Persons","0","Units",,,331399,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2006","2006","PER","Persons","0","Units",,,335170,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2007","2007","PER","Persons","0","Units",,,342644,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2008","2008","PER","Persons","0","Units",,,348368,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2009","2009","PER","Persons","0","Units",,,354785,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2010","2010","PER","Persons","0","Units",,,361766,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2011","2011","PER","Persons","0","Units",,,367985,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2012","2012","PER","Persons","0","Units",,,376539,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2013","2013","PER","Persons","0","Units",,,383257,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2014","2014","PER","Persons","0","Units",,,388799,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,7616170,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,6022320,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,4777690,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,23816000,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,1700670,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,2540670,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,515117,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,244692,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2015","2015","PER","Persons","0","Units",,,395813,,
"1","Country","AUS","Australia","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,24190900,,
"2","Large regions (TL2)","AU2","Victoria","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,6173170,,
"2","Large regions (TL2)","AU3","Queensland","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,4845150,,
"2","Large regions (TL2)","AU4","South Australia","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,1712840,,
"2","Large regions (TL2)","AU5","Western Australia","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,2555980,,
"2","Large regions (TL2)","AU6","Tasmania","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,517514,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,403104,,
"2","Large regions (TL2)","AU1","New South Wales","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,7732860,,
"2","Large regions (TL2)","AU7","Northern Territory","T","  Population, All ages","T","Total","ALL","All regions","2016","2016","PER","Persons","0","Units",,,245678,,
