"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2003","2003","PC","Percentage","0","Units",,,6,,
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2006","2006","PC","Percentage","0","Units",,,4.9,,
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2008","2008","PC","Percentage","0","Units",,,4.3,,
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2009","2009","PC","Percentage","0","Units",,,5.7,,
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2010","2010","PC","Percentage","0","Units",,,5.3,,
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2012","2012","PC","Percentage","0","Units",,,5.3,,
"1","Country","AUS","Australia","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2016","2016","PC","Percentage","0","Units",,,5.9,,
"2","Large regions (TL2)","AU1","New South Wales","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2005","2005","PC","Percentage","0","Units",,,5.2,,
"2","Large regions (TL2)","AU1","New South Wales","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2007","2007","PC","Percentage","0","Units",,,4.9,,
"2","Large regions (TL2)","AU1","New South Wales","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2008","2008","PC","Percentage","0","Units",,,4.8,,
"2","Large regions (TL2)","AU1","New South Wales","UNEM_RA_15_64","      Unemployment Rate (% unemployed over labour force 15-64)","T","Total","ALL","All regions","2009","2009","PC","Percentage","0","Units",,,6.2,,
