"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,3.88,,
"1","Country","AUS","Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,3.301,,
"1","Country","AUS","Australia","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,421805,,
"1","Country","AUS","Australia","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,19.9,,
"1","Country","AUS","Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,3.594,,
"1","Country","AUS","Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,7,,
"2","Large regions (TL2)","AU1","New South Wales","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,4.744,,
"2","Large regions (TL2)","AU1","New South Wales","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,3.277,,
"2","Large regions (TL2)","AU1","New South Wales","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,136962,,
"2","Large regions (TL2)","AU1","New South Wales","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,19.7,,
"2","Large regions (TL2)","AU1","New South Wales","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,3.443,,
"2","Large regions (TL2)","AU1","New South Wales","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,7.08,,
"2","Large regions (TL2)","AU2","Victoria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,4.315,,
"2","Large regions (TL2)","AU2","Victoria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,4.142,,
"2","Large regions (TL2)","AU2","Victoria","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,61916.4,,
"2","Large regions (TL2)","AU2","Victoria","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,11.8,,
"2","Large regions (TL2)","AU2","Victoria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,4.886,,
"2","Large regions (TL2)","AU2","Victoria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,7.35,,
"2","Large regions (TL2)","AU3","Queensland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,2.746,,
"2","Large regions (TL2)","AU3","Queensland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,2.654,,
"2","Large regions (TL2)","AU3","Queensland","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,136924,,
"2","Large regions (TL2)","AU3","Queensland","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,32.5,,
"2","Large regions (TL2)","AU3","Queensland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,2.614,,
"2","Large regions (TL2)","AU3","Queensland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,6.24,,
"2","Large regions (TL2)","AU4","South Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,3.191,,
"2","Large regions (TL2)","AU4","South Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,3.096,,
