"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2001","2001","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,5.3,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2001","2001","YR","Years","0","Units",,,79.67,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2002","2002","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.6,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2002","2002","YR","Years","0","Units",,,80,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2003","2003","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.6,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2003","2003","YR","Years","0","Units",,,80.3,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2004","2004","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.6,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2004","2004","YR","Years","0","Units",,,80.7,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2005","2005","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.7,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2005","2005","YR","Years","0","Units",,,80.9,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2006","2006","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.6,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2006","2006","YR","Years","0","Units",,,81,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2007","2007","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2007","2007","YR","Years","0","Units",,,81.4,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2008","2008","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.1,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2008","2008","YR","Years","0","Units",,,81.5,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2009","2009","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.9,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2009","2009","YR","Years","0","Units",,,81.8,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2010","2010","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.9,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2010","2010","YR","Years","0","Units",,,81.8,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2011","2011","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.8,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2011","2011","YR","Years","0","Units",,,82,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2012","2012","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.2,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2012","2012","YR","Years","0","Units",,,82,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","T","Total","ALL","All regions","2013","2013","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,3.7,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","T","Total","ALL","All regions","2013","2013","YR","Years","0","Units",,,82.1,,
"2","Large regions (TL2)","AU1","New South Wales","INF_MORT","      Infant Mortality Rate (less than 1 year deaths for 1 000 live births)","F","Females","ALL","All regions","2001","2001","DEATH_1000BIRTH","Deaths per 1 000 live births","0","Units",,,4.8,,
"2","Large regions (TL2)","AU1","New South Wales","LIFE_EXP","      Life Expectancy at Birth","F","Females","ALL","All regions","2001","2001","YR","Years","0","Units",,,82.4,,
