"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",34882,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",39650,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",36809,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",40713,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",36280,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",40416,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",36350,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",41243,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",38289,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",43448,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",39651,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",45525,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",39573,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",46023,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",40705,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",47212,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2008","2008","AUD","Australian Dollar","0","Units","2015","2015",41965,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2008","2008","AUD","Australian Dollar","0","Units","2015","2015",49170,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",43664,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",48547,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",43949,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",48655,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",45925,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",51420,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",46914,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",52288,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",46310,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",51398,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",30921,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",34966,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",32561,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",35707,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",33829,,
